budget_id,owner_id,category_name
1,1,Kids - 1
1,1,Grocery - 2
1,1,Shoes - 3
1,1,Clothing - 4
1,1,Movies - 5
1,1,Grocery - 6
1,1,Shoes - 7
1,1,Tools - 8
1,1,Music - 9
1,1,Kids - 10
1,1,Games - 11
1,1,Books - 12
1,1,Clothing - 13
1,1,Electronics - 14
1,1,Outdoors - 15
2,1,Grocery - 16
2,1,Beauty - 17
2,1,Beauty - 18
2,1,Beauty - 19
2,1,Kids - 20
2,1,Kids - 21
2,1,Jewelery - 22
2,1,Jewelery - 23
2,1,Clothing - 24
2,1,Books - 25
2,1,Jewelery - 26
2,1,Movies - 27
2,1,Electronics - 28
2,1,Jewelery - 29
2,1,Outdoors - 30
3,1,Tools - 31
3,1,Jewelery - 32
3,1,Tools - 33
3,1,Books - 34
3,1,Baby - 35
3,1,Baby - 36
3,1,Music - 37
3,1,Sports - 38
3,1,Toys - 39
3,1,Books - 40
3,1,Shoes - 41
3,1,Tools - 42
3,1,Industrial - 43
3,1,Shoes - 44
3,1,Grocery - 45
1,2,Computers - 46
1,2,Beauty - 47
1,2,Games - 48
1,2,Games - 49
1,2,Books - 50
1,2,Jewelery - 51
1,2,Baby - 52
1,2,Automotive - 53
1,2,Movies - 54
1,2,Garden - 55
1,2,Music - 56
1,2,Movies - 57
1,2,Beauty - 58
1,2,Movies - 59
1,2,Movies - 60
2,2,Tools - 61
2,2,Beauty - 62
2,2,Beauty - 63
2,2,Outdoors - 64
2,2,Books - 65
2,2,Automotive - 66
2,2,Outdoors - 67
2,2,Home - 68
2,2,Automotive - 69
2,2,Home - 70
2,2,Books - 71
2,2,Jewelery - 72
2,2,Music - 73
2,2,Kids - 74
2,2,Tools - 75
3,2,Electronics - 76
3,2,Automotive - 77
3,2,Electronics - 78
3,2,Books - 79
3,2,Automotive - 80
3,2,Electronics - 81
3,2,Industrial - 82
3,2,Electronics - 83
3,2,Games - 84
3,2,Games - 85
3,2,Health - 86
3,2,Health - 87
3,2,Toys - 88
3,2,Books - 89
3,2,Kids - 90
4,2,Books - 91
4,2,Kids - 92
4,2,Music - 93
4,2,Industrial - 94
4,2,Industrial - 95
4,2,Baby - 96
4,2,Kids - 97
4,2,Garden - 98
4,2,Beauty - 99
4,2,Baby - 100
